date,ce_entry,pe_entry,ce_exit,pe_exit,ce_hit_sl,pe_hit_sl,pnl_per_unit,pnl_after_cost
2025-11-10,513.35,905.0,516.35,885.0,False,False,17.0,435.0
2025-11-11,466.3,1045.0,510.0,876.5,False,False,124.80000000000001,4208.0
2025-11-12,600.0,762.4,601.5,739.8,False,False,21.100000000000023,578.5000000000008
2025-11-13,640.35,783.55,635.0,732.0,False,False,56.89999999999998,1831.499999999999
2025-11-14,600.0,714.25,533.5,767.65,False,False,13.100000000000023,298.5000000000008
2025-11-17,733.25,600.65,722.5,546.9,False,False,64.5,2097.5
2025-11-18,738.5,539.35,737.0,522.0,False,False,18.850000000000023,499.7500000000008
2025-11-19,632.55,556.0,790.6875,438.45,True,False,-40.587500000000034,-1580.5625000000011
2025-11-20,795.0,415.05,862.0,376.35,False,False,-28.30000000000001,-1150.5000000000005
2025-11-21,778.1,424.3,694.6,530.375,False,True,-22.57499999999999,-950.1249999999995
2025-11-24,633.85,498.05,792.3125,622.5625,True,True,-282.97499999999997,-10064.124999999998
2025-11-25,593.0,506.75,581.35,484.1,False,False,34.299999999999955,1040.4999999999984
2025-11-26,725.5,367.5,819.4,459.375,False,True,-185.77499999999998,-6662.124999999999
2025-11-27,946.15,281.8,916.95,278.4,False,False,32.599999999999966,980.9999999999989
2025-11-28,959.75,255.5,925.9,240.6,False,False,48.75000000000003,1546.250000000001
2025-12-01,1037.0,199.4,835.95,249.25,False,True,151.19999999999996,5131.999999999998
2025-12-02,766.8,274.0,720.5,277.45,False,False,42.849999999999966,1339.7499999999989
2025-12-03,572.5,343.7,715.625,309.6,True,False,-109.02500000000003,-3975.8750000000014
2025-12-04,667.55,256.0,575.1,282.35,False,False,66.09999999999991,2153.499999999997
2025-12-05,655.15,240.4,818.9375,173.9,True,False,-97.28750000000002,-3565.062500000001
2025-12-08,740.4,174.45,556.9,218.0625,False,True,139.8875,4736.0625
2025-12-09,470.0,314.2,587.5,253.35,True,False,-56.650000000000006,-2142.75
2025-12-10,544.3,218.0,393.0,272.5,False,True,96.79999999999995,3227.999999999998
2025-12-11,422.5,261.95,528.125,327.4375,True,True,-171.1125,-6148.9375
2025-12-12,552.45,147.95,472.65,184.9375,False,True,42.81250000000006,1338.437500000002
2025-12-15,370.45,207.4,463.0625,141.0,True,False,-26.212500000000006,-1077.4375000000002
2025-12-16,353.25,187.65,315.0,188.95,False,False,36.95000000000002,1133.2500000000007
2025-12-17,291.95,182.9,218.7,228.625,False,True,27.525000000000006,803.3750000000002
2025-12-18,180.95,234.85,226.1875,191.5,True,False,-1.887500000000017,-226.0625000000006
2025-12-19,223.85,143.5,196.9,130.8,False,False,39.64999999999998,1227.749999999999
2025-11-06,475.55,1084.35,438.0,1083.0,False,False,38.89999999999992,1201.4999999999973
2025-11-07,380.0,1305.95,475.0,970.55,True,False,240.4000000000001,8254.000000000004
2025-11-10,513.35,905.0,516.35,885.0,False,False,17.0,435.0
2025-11-11,466.3,1045.0,510.0,876.5,False,False,124.80000000000001,4208.0
2025-11-12,600.0,762.4,601.5,739.8,False,False,21.100000000000023,578.5000000000008
2025-11-13,640.35,783.55,635.0,732.0,False,False,56.89999999999998,1831.499999999999
2025-11-14,600.0,714.25,533.5,767.65,False,False,13.100000000000023,298.5000000000008
2025-11-17,733.25,600.65,722.5,546.9,False,False,64.5,2097.5
2025-11-18,738.5,539.35,737.0,522.0,False,False,18.850000000000023,499.7500000000008
2025-11-19,632.55,556.0,790.6875,438.45,True,False,-40.587500000000034,-1580.5625000000011
2025-11-20,795.0,415.05,862.0,376.35,False,False,-28.30000000000001,-1150.5000000000005
2025-11-21,778.1,424.3,694.6,530.375,False,True,-22.57499999999999,-950.1249999999995
2025-11-24,633.85,498.05,792.3125,622.5625,True,True,-282.97499999999997,-10064.124999999998
2025-11-25,593.0,506.75,581.35,484.1,False,False,34.299999999999955,1040.4999999999984
2025-11-26,725.5,367.5,819.4,459.375,False,True,-185.77499999999998,-6662.124999999999
2025-11-27,946.15,281.8,916.95,278.4,False,False,32.599999999999966,980.9999999999989
2025-11-28,959.75,255.5,925.9,240.6,False,False,48.75000000000003,1546.250000000001
2025-12-01,1037.0,199.4,835.95,249.25,False,True,151.19999999999996,5131.999999999998
2025-12-02,766.8,274.0,720.5,277.45,False,False,42.849999999999966,1339.7499999999989
2025-12-03,572.5,343.7,715.625,309.6,True,False,-109.02500000000003,-3975.8750000000014
2025-12-04,667.55,256.0,575.1,282.35,False,False,66.09999999999991,2153.499999999997
2025-12-05,655.15,240.4,818.9375,173.9,True,False,-97.28750000000002,-3565.062500000001
2025-12-08,740.4,174.45,556.9,218.0625,False,True,139.8875,4736.0625
2025-12-09,470.0,314.2,587.5,253.35,True,False,-56.650000000000006,-2142.75
2025-12-10,544.3,218.0,393.0,272.5,False,True,96.79999999999995,3227.999999999998
2025-12-11,422.5,261.95,528.125,327.4375,True,True,-171.1125,-6148.9375
2025-12-12,552.45,147.95,472.65,184.9375,False,True,42.81250000000006,1338.437500000002
2025-12-15,370.45,207.4,463.0625,141.0,True,False,-26.212500000000006,-1077.4375000000002
2025-12-16,353.25,187.65,315.0,188.95,False,False,36.95000000000002,1133.2500000000007
2025-12-17,291.95,182.9,218.7,228.625,False,True,27.525000000000006,803.3750000000002
2025-12-18,180.95,234.85,226.1875,191.5,True,False,-1.887500000000017,-226.0625000000006
2025-12-19,223.85,143.5,196.9,130.8,False,False,39.64999999999998,1227.749999999999
2025-11-06,475.55,1084.35,438.0,1083.0,False,False,38.89999999999992,1201.4999999999973
2025-11-07,380.0,1305.95,475.0,970.55,True,False,240.4000000000001,8254.000000000004
2025-11-10,513.35,905.0,516.35,885.0,False,False,17.0,435.0
2025-11-11,466.3,1045.0,510.0,876.5,False,False,124.80000000000001,4208.0
2025-11-12,600.0,762.4,601.5,739.8,False,False,21.100000000000023,578.5000000000008
2025-11-13,640.35,783.55,635.0,732.0,False,False,56.89999999999998,1831.499999999999
2025-11-14,600.0,714.25,533.5,767.65,False,False,13.100000000000023,298.5000000000008
2025-11-17,733.25,600.65,722.5,546.9,False,False,64.5,2097.5
2025-11-18,738.5,539.35,737.0,522.0,False,False,18.850000000000023,499.7500000000008
2025-11-19,632.55,556.0,790.6875,438.45,True,False,-40.587500000000034,-1580.5625000000011
2025-11-20,795.0,415.05,862.0,376.35,False,False,-28.30000000000001,-1150.5000000000005
2025-11-21,778.1,424.3,694.6,530.375,False,True,-22.57499999999999,-950.1249999999995
2025-11-24,633.85,498.05,792.3125,622.5625,True,True,-282.97499999999997,-10064.124999999998
2025-11-25,593.0,506.75,581.35,484.1,False,False,34.299999999999955,1040.4999999999984
2025-11-26,725.5,367.5,819.4,459.375,False,True,-185.77499999999998,-6662.124999999999
2025-11-27,946.15,281.8,916.95,278.4,False,False,32.599999999999966,980.9999999999989
2025-11-28,959.75,255.5,925.9,240.6,False,False,48.75000000000003,1546.250000000001
2025-12-01,1037.0,199.4,835.95,249.25,False,True,151.19999999999996,5131.999999999998
2025-12-02,766.8,274.0,720.5,277.45,False,False,42.849999999999966,1339.7499999999989
2025-12-03,572.5,343.7,715.625,309.6,True,False,-109.02500000000003,-3975.8750000000014
2025-12-04,667.55,256.0,575.1,282.35,False,False,66.09999999999991,2153.499999999997
2025-12-05,655.15,240.4,818.9375,173.9,True,False,-97.28750000000002,-3565.062500000001
2025-12-08,740.4,174.45,556.9,218.0625,False,True,139.8875,4736.0625
2025-12-09,470.0,314.2,587.5,253.35,True,False,-56.650000000000006,-2142.75
2025-12-10,544.3,218.0,393.0,272.5,False,True,96.79999999999995,3227.999999999998
2025-12-11,422.5,261.95,528.125,327.4375,True,True,-171.1125,-6148.9375
2025-12-12,552.45,147.95,472.65,184.9375,False,True,42.81250000000006,1338.437500000002
2025-12-15,370.45,207.4,463.0625,141.0,True,False,-26.212500000000006,-1077.4375000000002
2025-12-16,353.25,187.65,315.0,188.95,False,False,36.95000000000002,1133.2500000000007
2025-12-17,291.95,182.9,218.7,228.625,False,True,27.525000000000006,803.3750000000002
2025-12-18,180.95,234.85,226.1875,191.5,True,False,-1.887500000000017,-226.0625000000006
2025-12-19,223.85,143.5,196.9,130.8,False,False,39.64999999999998,1227.749999999999
2025-11-06,475.55,1084.35,438.0,1083.0,False,False,38.89999999999992,1201.4999999999973
2025-11-07,380.0,1305.95,475.0,970.55,True,False,240.4000000000001,8254.000000000004
2025-11-10,513.35,905.0,516.35,885.0,False,False,17.0,435.0
2025-11-11,466.3,1045.0,510.0,876.5,False,False,124.80000000000001,4208.0
2025-11-12,600.0,762.4,601.5,739.8,False,False,21.100000000000023,578.5000000000008
2025-11-13,640.35,783.55,635.0,732.0,False,False,56.89999999999998,1831.499999999999
2025-11-14,600.0,714.25,533.5,767.65,False,False,13.100000000000023,298.5000000000008
2025-11-17,733.25,600.65,722.5,546.9,False,False,64.5,2097.5
2025-11-18,738.5,539.35,737.0,522.0,False,False,18.850000000000023,499.7500000000008
2025-11-19,632.55,556.0,790.6875,438.45,True,False,-40.587500000000034,-1580.5625000000011
2025-11-20,795.0,415.05,862.0,376.35,False,False,-28.30000000000001,-1150.5000000000005
2025-11-21,778.1,424.3,694.6,530.375,False,True,-22.57499999999999,-950.1249999999995
2025-11-24,633.85,498.05,792.3125,622.5625,True,True,-282.97499999999997,-10064.124999999998
2025-11-25,593.0,506.75,581.35,484.1,False,False,34.299999999999955,1040.4999999999984
2025-11-26,725.5,367.5,819.4,459.375,False,True,-185.77499999999998,-6662.124999999999
2025-11-27,946.15,281.8,916.95,278.4,False,False,32.599999999999966,980.9999999999989
2025-11-28,959.75,255.5,925.9,240.6,False,False,48.75000000000003,1546.250000000001
2025-12-01,1037.0,199.4,835.95,249.25,False,True,151.19999999999996,5131.999999999998
2025-12-02,766.8,274.0,720.5,277.45,False,False,42.849999999999966,1339.7499999999989
2025-12-03,572.5,343.7,715.625,309.6,True,False,-109.02500000000003,-3975.8750000000014
2025-12-04,667.55,256.0,575.1,282.35,False,False,66.09999999999991,2153.499999999997
2025-12-05,655.15,240.4,818.9375,173.9,True,False,-97.28750000000002,-3565.062500000001
2025-12-08,740.4,174.45,556.9,218.0625,False,True,139.8875,4736.0625
2025-12-09,470.0,314.2,587.5,253.35,True,False,-56.650000000000006,-2142.75
2025-12-10,544.3,218.0,393.0,272.5,False,True,96.79999999999995,3227.999999999998
2025-12-11,422.5,261.95,528.125,327.4375,True,True,-171.1125,-6148.9375
2025-12-12,552.45,147.95,472.65,184.9375,False,True,42.81250000000006,1338.437500000002
2025-12-15,370.45,207.4,463.0625,141.0,True,False,-26.212500000000006,-1077.4375000000002
2025-12-16,353.25,187.65,315.0,188.95,False,False,36.95000000000002,1133.2500000000007
2025-12-17,291.95,182.9,218.7,228.625,False,True,27.525000000000006,803.3750000000002
2025-12-18,180.95,234.85,226.1875,191.5,True,False,-1.887500000000017,-226.0625000000006
2025-12-19,223.85,143.5,196.9,130.8,False,False,39.64999999999998,1227.749999999999
